name	particular	image	objectId	price	stack	getdesc	script	intro
Trái Sung	125	\spr\item\trai.sung.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Mâm Bạc	126	\spr\item\mam.bac.spr	41	0	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Mâm Vàng	127	\spr\item\mam.vang.spr	41	0	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Mâm Ngũ Quả (Thường)	128	\spr\item\mam.ngu.qua.thuong.spr	41	0	250		\script\item\mam.ngu.qua.thuong.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, dùng để dâng hương và nhận phần thưởng khi sử dụng
Mâm Ngũ Quả (Đại Cát)	129	\spr\item\mam.ngu.qua.dai.cai.spr	41	0	250		\script\item\mam.ngu.qua.dai.cat.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, dùng để dâng hương và nhận phần thưởng khi sử dụng
Mâm Ngũ Quả (An Khang)	130	\spr\item\mam.ngu.qua.an.khang.spr	41	0	250		\script\item\mam.ngu.qua.an.khang.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, dùng để dâng hương và nhận phần thưởng khi sử dụng
Phúc	131	\spr\item\phuc.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành Thịnh Vượng Hồng Bao
Lộc	132	\spr\item\loc.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành Thịnh Vượng Hồng Bao
Thọ	133	\spr\item\tho.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành Thịnh Vượng Hồng Bao
Thịnh Vượng Hồng Bao	134	\spr\item\thinh.vuong.hong.bao.spr	41	0	250		\script\item\thinh.vuong.hong.bao.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, mở ra có thể nhận được 100 triệu điểm kinh nghiệm cộng dồn, mỗi tháng chỉ mở được một lần
An Khang Bảo Rương	135	\spr\item\an.khang.bao.ruong.spr	433	0	250		\script\item\an.khang.bao.ruong.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nhận được khi đạt mốc 100 Mâm Ngũ Quả An Khang, bên trong toàn là kỳ trân dị bảo
Rương Hoàng Kim Hiệp Cốt	136	\spr\item\ruong.hoang.kim.hiep.cot.spr	433	0	250		\script\item\ruong.hoang.kim.hiep.cot.lua	Bên trong có một bộ\ntrang bị Hiệp Cốt
Chân Đan Đạt Top (Hạng Nhất)	137	\spr\item\duatop.chandon.top1.spr	333	0	999		\script\item\duatop.chandon.lua	Phần thưởng dành cho các hiệp khách có thành tích xuất chúng trong đợt tranh đua bảng xếp hạng cấp độ
Chân Đan Đạt Top (Hạng Hai)	138	\spr\item\duatop.chandon.top2.spr	333	0	999		\script\item\duatop.chandon.lua	Phần thưởng dành cho các hiệp khách có thành tích xuất chúng trong đợt tranh đua bảng xếp hạng cấp độ
Chân Đan Đạt Top (Hạng Ba)	139	\spr\item\duatop.chandon.top3.spr	333	0	999		\script\item\duatop.chandon.lua	Phần thưởng dành cho các hiệp khách có thành tích xuất chúng trong đợt tranh đua bảng xếp hạng cấp độ
Chân Đan Đạt Top (Kiệt Xuất)	140	\spr\item\duatop.chandon.top4.spr	333	0	999		\script\item\duatop.chandon.lua	Phần thưởng dành cho các hiệp khách có thành tích xuất chúng trong đợt tranh đua bảng xếp hạng cấp độ
Chân Đan Đạt Top (Môn Phái)	141	\spr\item\duatop.chandon.top5.spr	333	0	999		\script\item\duatop.chandon.lua	Phần thưởng dành cho các hiệp khách có thành tích xuất chúng trong đợt tranh đua bảng xếp hạng cấp độ
Bính Ngọ Hồng Bao	142	\spr\item\newyear0901\wangshenghongbao.spr	352	0	999		\script\item\binh.ngo.hong.bao.lua	Phong bao lì xì mừng xuân Bính Ngọ 2026
Phụng Nguyệt Quả Dung	143	\spr\item\medecine\zq_icon_001.spr	41	0	999		\script\item\phung.nguyet.qua.dung.lua	Hấp thụ sẽ nhận được 1 điểm kỹ năng. Giới hạn mỗi nhân vật được 15 lần sử dụng
Cống Nguyệt Phù Dung	144	\spr\item\medecine\zq_icon_002.spr	41	0	999		\script\item\cong.nguyet.phu.dung.lua	Hấp thụ sẽ nhận được 5 điểm tiềm năng. Giới hạn mỗi nhân vật được 15 lần sử dụng
An Bang Bảo Rương	146	\spr\item\an.bang.bao.ruong.spr	433	0	999		\script\item\an.bang.bao.ruong.lua	Bên trong có chứa một món trang bị Hoàng Kim thuộc bộ An Bang Hoàng Kim
An Bang Bảo Rương (Tiểu)	145	\spr\item\an.bang.bao.ruong.tieu.spr	433	0	999		\script\item\an.bang.bao.ruong.tieu.lua	Bên trong có chứa một món trang bị Hoàng Kim thuộc bộ An Bang (Tiểu) Hoàng Kim
Tam Hoa Tán	147	\spr\item\medecine\obj-potion16.spr	19	1	60		\script\item\potion.lua	Có thể hồi phục thể lực<enter>Thể lực: +50 điểm
Bách Quả Lộ	148	\spr\item\bach.qua.lo.spr	370	0	999		\script\item\bach.qua.lo.lua	Nội 1 giờ, Phòng thủ tăng 15 điểm. tái sử dụng vô hiệu và không có tác dụng ở một số bản đồ đặc biệt
Mảnh Cống Nguyệt	149	\spr\item\cong.nguyet.manh.ghep.spr	41	0	999			Một phần của Cống Nguyệt Phù Dung, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh Phụng Nguyệt	150	\spr\item\phung.nguyet.manh.ghep.spr	41	0	999			Một phần của Phụng Nguyệt Quả Dung, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh An Bang	151	\spr\item\manh.an.bang.spr	425	0	999			Một mảnh của bộ trang bị An Bang Hoàng Kim, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
An Bang Hoàn Mỹ Thạch	152	\spr\item\an.bang.hoan.my.thach.spr	425	0	999			Nguyên liệu quan trọng giúp Thợ Rèn ở Lâm An nâng cấp trang bị An Bang Hoàng Kim lên mức độ Hoàn Mỹ (giữ nguyên thuộc tính cũ, bổ sung thuộc tính ngẫu nhiên mới)
Lệnh Bài Boss Hoàng Kim	153	\spr\item\lenh.bai.boss.hk.spr	352	0	999		\script\item\lenh.bai.boss.hoang.kim.lua	Sau khi sử dụng một boss Hoàng Kim sẽ xuất hiện, hãy cẩn trọng!
Linh Đan (Giai Nhân)	154	\spr\item\vo.cuc.linh.dan.spr	41	0	999		\script\item\vo.cuc.linh.dan.lua	Sau khi hấp thụ sẽ nhận được ngay 5 điểm tiềm năng, giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Linh Dược (Giai Nhân)	155	\spr\item\vo.cuc.linh.duoc.spr	41	0	999		\script\item\vo.cuc.linh.duoc.lua	Sau khi hấp thụ sẽ nhận được ngay 1 điểm kỹ năng, giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Mảnh Tín Vật Môn Phái	156	\spr\item\tin.vat.mon.phai.manh.ghep.spr	425	0	999			Một mảnh của Tín Vật Môn Phái, vật phẩm yêu cầu để chuyển đổi Môn phái, thu thập đủ có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Chiến Hồn Bôn Tiêu	157	\spr\item\chien.hon.bon.tieu.spr	425	0	999			Chứa một tia phân hồn Bôn Tiêu vang danh của Chu Mục Vương, nghe nói Thẩm công tử tại Nam Nhạc Trấn có thể triệu hồi chiến mã nếu đủ số lượng chiến hồn
Rương Hoàng Kim An Bang	158	\spr\item\ruong.hoang.kim.an.bang.spr	433	0	999		\script\item\ruong.hoang.kim.an.bang.lua	Bên trong có một bộ\ntrang bị An Bang
Dưỡng Nhan Lộ	159	\spr\item\duong.nhan.lo.spr	370	0	999		\script\item\duong.nhan.lo.lua	Nhựa đào, Tuyết yến, Tuyết liên tử, Táo đỏ, Kỳ tử, Long nhãn, Hạt chia, Đông trùng hạ thảo là các loại nguyên liệu luyện chế ra Dưỡng Nhan Lộ. Sau khi sử dụng lập tức hấp thu 300 triệu điểm Exp, e rằng cả đời người chỉ dùng được 1 lần.
Túi Tuyệt Sắc Giai Nhân	160	\spr\item\tui.tuyet.sac.giai.nhan.spr	41	1	250		\script\item\tui.tuyet.sac.giai.nhan.lua	Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, bên trong có chứa nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Cành Hoa Cúc	161	\spr\item\hoa.cuc.spr	41	1	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Cành Hoa Hồng	162	\spr\item\hoa.hong.spr	41	1	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Túi Hương	163	\spr\item\tui.huong.spr	41	1	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Dây Buộc Hoa	164	\spr\item\day.buoc.hoa.spr	41	0	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Chiếc Nơ	165	\spr\item\chiec.no.spr	41	0	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Hộp Màu Sắc	166	\spr\item\hop.mau.sac.spr	41	0	250			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Đóa Hoa Tuyệt Sắc	167	\spr\item\doa.hoa.tuyet.sac.spr	41	0	250		\script\item\doa.hoa.tuyet.sac.lua	Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, lễ phẩm dành cho phái đẹp, mỗi lần sử dụng nhận được 3.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Đóa Hoa Hoàn Mỹ	168	\spr\item\doa.hoa.hoan.my.spr	41	0	250		\script\item\doa.hoa.hoan.my.lua	Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, lễ phẩm dành cho phái đẹp, mỗi lần sử dụng nhận được 6.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Niên Hồng Bách Hợp	169	\spr\item\nien.hong.bach.hop.spr	41	0	250		\script\item\nien.hong.bach.hop.lua	Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, lễ phẩm dành cho phái đẹp, mỗi lần sử dụng nhận được 9.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Song Khuyên	170	\spr\item\song.khuyen.spr	41	0	999			Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, vật phẩm dùng để đua top sự kiện
Tuyệt Sắc Bảo Rương	171	\spr\item\tuyet.sac.bao.ruong.spr	433	0	250		\script\item\tuyet.sac.bao.ruong.lua	Vật phẩm sự kiện Tuyệt Sắc Giai Nhân, nhận được khi đạt mốc 100 Niên Hồng Bách Hợp, bên trong toàn là kỳ trân dị bảo
Thiên Sơn Tuyết Liên	172	\spr\item\thien.son.tuyet.lien.spr	333	0	999		\script\item\thien.son.tuyet.lien.lua	Sinh trưởng ở nơi đỉnh núi, nơi băng tuyết vĩnh cửu và bảy năm mới ra hoa một lần nhờ vậy mang lại vẻ đẹp thuần khiết. Chứa dược tính cực cao, người sử dụng có thể ngay lập tức đạt cấp độ 105 mà không cần phải tốn nhiều công sức.
Thiên Lý Chân Đan	173	\spr\item\thien.ly.chan.dan.spr	19	0	999		\script\item\thien.ly.chan.dan.lua	Hấp thụ ngay lập tức có thể lĩnh hội 100 triệu điểm kinh nghiệm, loại đan dược này mỗi tháng chỉ có thể dùng 2 lần
Túi Tử Mẫu (14 ngày)	174	\spr\item\tui.tu.mau.spr	41	0	999		\script\item\tui.tu.mau.lua	Giúp mở thêm 36 ô trống trong hành trang có thời hạn sử dụng trong 14 ngày
Nhất Kỷ Càn Khôn Phù (14 ngày)	175	\spr\item\script\zhongqiu_jieri\gongxuanlingpai.spr	41	0	999		\script\item\nhat.ky.can.khon.phu.lua	Nhân sĩ võ lâm nào có được báu vật này sẽ như hổ thêm cánh. Sử dụng có thể lĩnh hội ma pháp [Kỹ năng vốn có: +1 cấp]
Nhất Kỷ Càn Khôn Phù (30 ngày)	176	\spr\item\script\zhongqiu_jieri\gongxuanlingpai.spr	41	0	999		\script\item\nhat.ky.can.khon.phu.lua	Nhân sĩ võ lâm nào có được báu vật này sẽ như hổ thêm cánh. Sử dụng có thể lĩnh hội ma pháp [Kỹ năng vốn có: +1 cấp]
Rương Hoàng Kim Định Quốc	177	\spr\item\ruong.hoang.kim.dinh.quoc.spr	433	0	999		\script\item\ruong.hoang.kim.dinh.quoc.lua	Bên trong có một bộ\ntrang bị Định Quốc
Đại Thừa Chân Kinh (23h59 09/07)	178	\spr\item\dai.thua.chan.kinh.spr	341	0	999		\script\item\dai.thua.chan.kinh.lua	Đây không phải là một bộ công pháp cụ thể, mà là một cuốn kinh thư tăng cấp vạn pháp, loại bí bảo hỗ trợ tu luyện cực kỳ hiếm có. Sau khi nghiền ngẫm và vận chuyển nội lực có thể trực tiếp đẩy kỹ năng cấp 90 bất kỳ lên mức Hoàn mỹ, lập tức tăng một điểm kỹ năng chỉ định.
Bánh Chưng (Giải Phóng)	179	\spr\item\banh.chung.spr	366	0	999		\script\item\banh.chung.giai.phong.lua	Lễ phẩm sự kiện Nhất Thống Giang Sơn\nSử dụng sẽ nhận được 1 điểm kỹ năng, giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Bánh Tét (Giải Phóng)	180	\spr\item\banh.tet.spr	439	0	999		\script\item\banh.tet.giai.phong.lua	Lễ phẩm sự kiện Nhất Thống Giang Sơn\nSử dụng sẽ nhận được 5 điểm tiềm năng giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Bạch Chân Đan	181	\spr\item\bach.chan.dan.spr	333	0	999		\script\item\bach.chan.dan.lua	Sử dụng lập tức nhận được 500 triệu điểm kinh nghiệm. Mỗi nhân vật chỉ dùng được 1 cái mỗi tháng.
Nhất Kỷ Càn Khôn Phù (7 ngày)	182	\spr\item\script\zhongqiu_jieri\gongxuanlingpai.spr	41	0	999		\script\item\nhat.ky.can.khon.phu.lua	Nhân sĩ võ lâm nào có được báu vật này sẽ như hổ thêm cánh. Sử dụng có thể lĩnh hội ma pháp [Kỹ năng vốn có: +1 cấp]
Túi Chiến Thắng	183	\spr\item\tui.mung.chien.thang.spr	41	0	999		\script\item\tui.mung.chien.thang.lua	Sau khi sử dụng sẽ nhận được 300 triệu EXP, mỗi nhân vật chỉ dùng được 1 phần.
Huyền Thiết Khoáng	184	\spr\item\script\item_xuantiekuang.spr	425	0	999			Loại huyền thiết làm nguyên liệu để trùng luyện trang bị Hoàng Kim, có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để tìm hiểu.
Lệnh Bài Boss Sát Thủ	185	\spr\item\lenh.bai.boss.sat.thu.spr	352	0	999		\script\item\lenh.bai.boss.sat.thu.lua	Sau khi sử dụng một boss Sát Thủ sẽ xuất hiện, hãy cẩn trọng!
Túi Tử Mẫu (vĩnh viễn)	186	\spr\item\tui.tu.mau.spr	41	0	999		\script\item\tui.tu.mau.lua	Giúp mở thêm 36 ô trống trong hành trang có thời hạn sử dụng vĩnh viễn
Túi Nguyên Liệu 30/4	187	\spr\item\hop.qua.30.04.spr	41	0	999		\script\item\tui.nguyen.lieu.30.04.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, bên trong có chứa nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Khuy Áo	188	\spr\item\khuy.ao.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Vải Thô	189	\spr\item\vai.tho.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Cuộn Chỉ	190	\spr\item\cuon.chi.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Dây Đai	191	\spr\item\day.dai.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Thuốc Nhuộm	192	\spr\item\thuoc.nhuom.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Chiếc Áo Bạc Màu	193	\spr\item\chiec.ao.bac.mau.spr	41	0	999		\script\item\chiec.ao.bac.mau.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, lễ phẩm tưởng nhớ ngày thống nhất, mỗi lần sử dụng nhận được 4.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Chiếc Áo Lính Mới	194	\spr\item\chiec.ao.linh.moi.spr	41	0	999		\script\item\chiec.ao.linh.moi.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, lễ phẩm tưởng nhớ ngày thống nhất, mỗi lần sử dụng nhận được 8.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Chiếc Áo Trường Sơn	195	\spr\item\chiec.ao.truong.son.spr	41	0	999		\script\item\chiec.ao.truong.son.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, lễ phẩm tưởng nhớ ngày thống nhất, mỗi lần sử dụng nhận được 10.000.000 Exp, giới hạn 100 cái mỗi nhân vật
Vinh Quang Bảo Rương	196	\spr\item\vinh.quang.bao.ruong.spr	433	0	999		\script\item\vinh.quang.bao.ruong.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, nhận được khi đạt mốc 100 Chiếc Áo Trường Sơn, bên trong toàn là kỳ trân dị bảo
Gậy Trường Sơn	197	\spr\item\gay.truong.son.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành Quân Nhân Bảo Hạp
Mũ Tai Bèo	198	\spr\item\mu.tai.beo.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành Quân Nhân Bảo Hạp
Ba Lô Chiến Sĩ	199	\spr\item\ba.lo.chien.si.spr	41	0	999			Vật phẩm sự kiện Nhất Thống Giang Sơn, nguyên liệu cần thiết để ghép thành Quân Nhân Bảo Hạp
Quân Nhân Bảo Hạp	200	\spr\item\quan.nhan.bao.hap.spr	41	0	999		\script\item\quan.nhan.bao.hap.lua	Vật phẩm sự kiện Nhất Thống Giang Sơn, bên trong có chứa 30 triệu Exp và một số vật phẩm giá trị khác
Khiêu Chiến Lệnh	201	\spr\item\vietnam\tiaozhanling.spr	352	0	999			Tín vật dùng để tham dự các hoạt động tranh đấu. Bang Hội Tinh Anh
Tinh Anh Lệnh	202	\spr\item\tinh.anh.lenh.spr	352	0	999		\script\item\tinh.anh.lenh.lua	Tín Vật Của Vinh Quang!\nLà phần thưởng quý giá và quyền năng chỉ dành cho những chiến binh xuất sắc nhất tham gia hoạt động Bang Hội Tinh Anh. Minh chứng cho bản lĩnh, tinh thần đoàn kết và kỹ năng PK thượng thừa. Sử dụng để quy đổi thành danh hiệu Tinh Anh trong 6 ngày.\nKháng tất cả: +5%\nSinh lực tối đa: +300 điểm\nNội lực tối đa: +300 điểm
Hoán Thiên Trùy	203	\spr\item\hoan.thien.truy.spr	41	0	999			Là chìa khóa giúp cho Thợ Rèn có thể hoán đổi bất kỳ loại vũ khí cấp 10 thành loại hình thức vũ khí chỉ định khác. Cũng giống như Kim Huyền Thiết, nhưng Thợ Rèn có thể chọn hình thức vũ khí mới mong muốn
Nguyệt Quang Bảo Hạp	204	\spr\item\nguyet.quang.bao.hap.spr	433	0	999		\script\item\nguyet.quang.bao.hap.lua	Bên trong có chứa một số đặc phẩm của các sự kiện đã được lưu giữ lại, mỗi lần sử dụng chỉ có thể chọn một món.\nBánh Chưng, Bánh Tét (Ngũ quả)\nLinh Đan, Linh Dược (Giai Nhân)\nBánh Chưng, Bánh Tét (Giải Phóng)
Huyền Chân Đan	205	\spr\item\huyen.chan.dan.spr	19	0	999		\script\item\huyen.chan.dan.lua	Sử dụng ngay lập tức hấp thụ 1 tỷ điểm kinh nghiệm. Tuy nhiên, loại tiên phẩm đan dược này mỗi tháng chỉ dùng được một lần
Huyết Long Đan	206	\spr\item\huyet.long.dan.spr	19	0	999		\script\item\huyet.long.dan.lua	Sử dụng ngay lập tức hấp thụ 1.5 tỷ điểm kinh nghiệm. Tuy nhiên, loại tiên phẩm đan dược này mỗi tháng chỉ dùng được một lần
Trấn Phái Linh Đan	207	\spr\item\tu.vi.nguyen.don.ky.nang.90.spr	19	0	999		\script\item\tran.phai.linh.dan.lua	Sau khi hấp thụ sẽ nhận được ngay 1 điểm kỹ năng, giới hạn mỗi nhân vật chỉ sử dụng được 5 lần
Trấn Phái Linh Dược	208	\spr\item\tu.vi.nguyen.don.ky.nang.120.spr	19	0	999		\script\item\tran.phai.linh.duoc.lua	Sau khi hấp thụ sẽ nhận được ngay 5 điểm tiềm năng, giới hạn mỗi nhân vật chỉ sử dụng được 5 lần
Mảnh Kim Quang	209	\spr\item\manh.dinh.quoc.spr	425	0	999			Một mảnh của bộ trang bị Kim Quang Hoàng Kim, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Tiên Linh Thảo	210	\spr\item\tien.linh.thao.spr	41	0	999		\script\item\tien.linh.thao.lua	Sau khi sử dụng sẽ hấp thụ được 500 triệu EXP, mỗi nhân vật chỉ dùng được 1 phần.
Hồng Ảnh Bảo Rương	211	\spr\item\ruong.hong.anh.spr	433	0	999		\script\item\hong.anh.bao.ruong.lua	Bên trong có chứa một món trang bị Hồng Ảnh thuộc bộ Hồng Ảnh Hoàng Kim
Túi Sự Kiện Tháng 5	212	\spr\item\hop.qua.30.04.spr	41	0	999		\script\item\tui.su.kien.thang.5.lua	Vật phẩm sự kiện Thần Long Xuất Thế, bên trong có chứa nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Đuôi Rồng	213	\spr\item\event.thang.5.duoi.rong.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Thân Rồng	214	\spr\item\event.thang.5.than.rong.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Xương Rồng	215	\spr\item\event.thang.5.xuong.rong.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Kiếm Gãy	216	\spr\item\event.thang.5.kiem.gay.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Áo Giáp	217	\spr\item\event.thang.5.ao.giap.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Long Đầu	218	\spr\item\event.thang.5.long.dau.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành lễ phẩm sự kiện
Du Long Kiếm	219	\spr\item\event.thang.5.du.long.kiem.spr	41	0	999		\script\item\du.long.kiem.lua	Vật phẩm sự kiện Thần Long Xuất Thế, mỗi lần sử dụng nhận được 10.000.000 điểm Exp, giới hạn 100 cái mỗi nhân vật
Chiến Long Giáp	220	\spr\item\event.thang.5.chien.long.giap.spr	41	0	999		\script\item\chien.long.giap.lua	Vật phẩm sự kiện Thần Long Xuất Thế, mỗi lần sử dụng nhận được 20.000.000 điểm Exp, giới hạn 100 cái mỗi nhân vật
Long Đầu Chiến Thuyền	221	\spr\item\event.thang.5.long.dau.chien.thuyen.spr	41	0	999		\script\item\long.dau.chien.thuyen.lua	Vật phẩm sự kiện Thần Long Xuất Thế, mỗi lần sử dụng nhận được 30.000.000 điểm Exp, giới hạn 100 cái mỗi nhân vật
Vang Danh Bảo Rương	222	\spr\item\event.thang.5.vang.danh.bao.ruong.spr	41	0	999		\script\item\vang.danh.bao.ruong.lua	Vật phẩm sự kiện Thần Long Xuất Thế, nhận được khi đạt mốc 100 Long Đầu Chiến Thuyền, bên trong toàn là kỳ trân dị bảo
Long Huyết Thạch	223	\spr\item\event.thang.5.long.huyet.thach.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, dùng để tham gia tranh xếp hạng Long Huyết Thạch
Vương Kỳ	224	\spr\item\event.thang.5.vuong.ky.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành Ngân Hoàng Lệnh
Thiên Ấn	225	\spr\item\event.thang.5.thien.an.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành Ngân Hoàng Lệnh
Lam Thạch	226	\spr\item\event.thang.5.lam.thach.spr	41	0	999			Vật phẩm sự kiện Thần Long Xuất Thế, nguyên liệu cần thiết để ghép thành Ngân Hoàng Lệnh
Ngân Hoàng Lệnh	227	\spr\item\event.thang.5.ngan.hoang.lenh.spr	41	0	999		\script\item\ngan.hoang.lenh.lua	Vật phẩm sự kiện Thần Long Xuất Thế, mỗi lần sử dụng sẽ nhận được 100 triệu Exp, mỗi đại hiệp chỉ sử dụng được 10 lần, lần thứ 10 sẽ nhận được thêm phần thưởng ngẫu nhiên
Đồ Phổ [Mộng Long Đạt Ma Tăng Hài]	228	\spr\item\do.pho.trang.bi.hoang.kim.spr	412	0	999			Đồ phổ Hoàng Kim\n\n<#00df00>Tỷ lệ thành công 75%</color>\nChế tạo thất bại sẽ mất hết nguyên liệu\nNguyên liệu yêu cầu\n<#ffff00>1 Đồ phổ Hoàng Kim\n1 Huyền Tinh Khoáng Thạch cấp 8\n300 Kim Nguyên Bảo\n3 Thủy Tinh\n6 Tinh Hồng Bảo Thạch
Đồ Phổ [Tứ Không Tử Kim Cà Sa]	229	\spr\item\do.pho.trang.bi.hoang.kim.spr	412	0	999			Đồ phổ Hoàng Kim\n\n<#00df00>Tỷ lệ thành công 75%</color>\nChế tạo thất bại sẽ mất hết nguyên liệu\nNguyên liệu yêu cầu\n<#ffff00>1 Đồ phổ Hoàng Kim\n1 Huyền Tinh Khoáng Thạch cấp 8\n300 Kim Nguyên Bảo\n3 Thủy Tinh\n6 Tinh Hồng Bảo Thạch
Đồ Phổ [Phục Ma Huyền Hoàng Cà Sa]	230	\spr\item\do.pho.trang.bi.hoang.kim.spr	412	0	999			Đồ phổ Hoàng Kim\n\n<#00df00>Tỷ lệ thành công 75%</color>\nChế tạo thất bại sẽ mất hết nguyên liệu\nNguyên liệu yêu cầu\n<#ffff00>1 Đồ phổ Hoàng Kim\n1 Huyền Tinh Khoáng Thạch cấp 8\n300 Kim Nguyên Bảo\n3 Thủy Tinh\n6 Tinh Hồng Bảo Thạch
Đồ Phổ [Phục Ma Phổ Độ Tăng Hài]	231	\spr\item\do.pho.trang.bi.hoang.kim.spr	412	0	999			Đồ phổ Hoàng Kim\n\n<#00df00>Tỷ lệ thành công 75%</color>\nChế tạo thất bại sẽ mất hết nguyên liệu\nNguyên liệu yêu cầu\n<#ffff00>1 Đồ phổ Hoàng Kim\n1 Huyền Tinh Khoáng Thạch cấp 8\n300 Kim Nguyên Bảo\n3 Thủy Tinh\n6 Tinh Hồng Bảo Thạch
